sentence_id,sentence,aspect,category,polarity
456:0,أنصح بالنوم وليس تناول الطعام  موقع مثالي للإقامة قبل رحلة طيران مبكرة.,موقع,LOCATION,positive
456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.,الغرفة,ROOMS,positive
456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.,الموظفون,SERVICE,positive
456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.,بوفيه الإفطار,FOOD_DRINKS,positive
456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.,وجبة العشاء,FOOD_DRINKS,negative
456:2,فندق يتميز بمرافق نوعيّة وخلّاقة وساخنة. قم بشراء وجبة داخل الغرفة من M _ S عند الوصول في المطار بدلا من ذلك,فندق,HOTEL,positive
1322:0,لمسة بحرية  جميل وظريفة، فندق تقليدي في المدينة التاريخية القديمة.,فندق,HOTEL,positive
1322:0,لمسة بحرية  جميل وظريفة، فندق تقليدي في المدينة التاريخية القديمة.,NULL,HOTEL,positive
1322:0,لمسة بحرية  جميل وظريفة، فندق تقليدي في المدينة التاريخية القديمة.,NULL,LOCATION,positive
1322:1,سأوصي بالتأكيد بموقع المدينة القديمة إلا إنه عليك الحذر من الأسعار السياحية الأكثر ارتفاعاً.,المدينة القديمة,LOCATION,positive
1322:1,سأوصي بالتأكيد بموقع المدينة القديمة إلا إنه عليك الحذر من الأسعار السياحية الأكثر ارتفاعاً.,الأسعار السياحية,HOTEL,positive
1322:2,فريق العمل الودود والمتعاون على الإطلاق والبار المنعش على الإطلاق خلال فصل الصيف.,فريق العمل,SERVICE,positive
1322:3,فندق جميل، ولكن فقط كن جاهزاً للمزيد من الجو البحري!!,فندق,HOTEL,positive
1322:4,كان الإفطار مبهجاً - لذيذ للغاية مع تشكيلة رائعة. رائع - 5 نجوم!,الإفطار,FOOD_DRINKS,positive
1322:4,كان الإفطار مبهجاً - لذيذ للغاية مع تشكيلة رائعة. رائع - 5 نجوم!,NULL,FOOD_DRINKS,positive
1322:4,كان الإفطار مبهجاً - لذيذ للغاية مع تشكيلة رائعة. رائع - 5 نجوم!,NULL,HOTEL,positive
1606:0,من افضل فنادق المدينه المنوره انصح وبشده من يريد ان يشعر انه في بيته الثاني ان يذهب اليه اكل نظيف تعامل راقي,اكل,FOOD_DRINKS,positive
